Ensembl.ID	Location	Approved.Symbol	Mim.Number	Gene.Name	Phenotypes	Panels	From.Omim	From.PanelApp	Inheritance	Publications	Aliases
ENSG00000128274	chr22:42692114-42721300	A4GALT	607922	"Alpha 1,4-galactosyltransferase"	"[Blood group, P1Pk system, p phenotype], 111400 (3); NOR polyagglutination syndrome, 111400 (3); [Blood group, P1Pk system, P(2) phenotype], 111400 (3)"		TRUE	FALSE			
ENSG00000094914	chr12:53307455-53321609	AAAS	605378	Aladin	"Achalasia-addisonianism-alacrimia syndrome, 231550 (3), Autosomal recessive"	"Congenital adrenal hypoplasia, DDG2P, Hereditary ataxia - adult onset, Intellectual disability, Familial dysautonomia, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"20931227, 25529582"	
ENSG00000103591	chr15:67200666-67255197	AAGAB	614888	Alpha- and gamma-adaptin-binding protein	"Keratoderma, palmoplantar, punctate type IA, 148600 (3), Autosomal dominant"		TRUE	FALSE			
ENSG00000090861	chr16:70252294-70289508	AARS1	601065	Alanyl-tRNA synthetase 1	"Developmental and epileptic encephalopathy 29, 616339 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2N, 613287 (3), Autosomal dominant"	"Intellectual disability, Severe Paediatric Disorders, White matter disorders - adult onset, Hereditary neuropathy"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	25817015	"CMT2N, AlaRS"
ENSG00000124608	chr6:44297849-44313357	AARS2	612035	Alanyl-tRNA synthetase 2	"Combined oxidative phosphorylation deficiency 8, 614096 (3), Autosomal recessive; Leukoencephalopathy, progressive, with ovarian failure, 615889 (3), Autosomal recessive"	"Inborn errors of metabolism, White matter disorders - adult onset, Cardiomyopathies - including childhood onset, White matter disorders and cerebral calcification - narrow panel, Mitochondrial disorders, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	30847515	"KIAA1270, bA444E17.1"
ENSG00000008311	chr7:122073543-122144268	AASS	605113	Alpha-aminoadipic semialdehyde synthase	"Hyperlysinemia, 238700 (3), Autosomal recessive"	"Inborn errors of metabolism, Severe Paediatric Disorders, Intellectual disability"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"934735, 10775527"	"LORSDH, LKRSDH"
ENSG00000183044	chr16:8674616-8784569	ABAT	137150	4-aminobutyrate aminotransferase	"GABA-transaminase deficiency, 613163 (3), Autosomal recessive"	"Inborn errors of metabolism, Childhood onset dystonia or chorea or related movement disorder, Mitochondrial disorders, Mitochondrial DNA maintenance disorder, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"Besse et al., 2015, Cell Metab., 21(3), 417-427 PMID: 25738457"	GABAT
ENSG00000165029	chr9:104781005-104928231	ABCA1	600046	ATP-binding cassette 1	"HDL deficiency, familial, 1, 604091 (3); Tangier disease, 205400 (3), Autosomal recessive"	"Severe Paediatric Disorders, Inborn errors of metabolism, Hereditary neuropathy"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	27604308	TGD
ENSG00000144452	chr2:214931541-215138625	ABCA12	607800	"ATP-binding cassette, subfamily A, member 12"	"Ichthyosis, congenital, autosomal recessive 4B (harlequin), 242500 (3), Autosomal recessive; Ichthyosis, congenital, autosomal recessive 4A, 601277 (3), Autosomal recessive"	"Autosomal recessive congenital ichthyosis, Severe Paediatric Disorders, Fetal anomalies"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"		"DKFZP434G232, LI2"
ENSG00000107331	chr9:137007233-137028921	ABCA2	600047	ATP-binding cassette 2	"Intellectual developmental disorder with poor growth and with or without seizures or ataxia, 618808 (3), Autosomal recessive"		TRUE	FALSE			
ENSG00000167972	chr16:2275880-2340727	ABCA3	601615	ATP-binding cassette-3	"Surfactant metabolism dysfunction, pulmonary, 3, 610921 (3), Autosomal recessive"	"Familial pulmonary fibrosis, Severe Paediatric Disorders"	TRUE	TRUE	"BIALLELIC, autosomal or pseudoautosomal"	"24730976, 15044640, 26780485, 25553246"	"ABC-C, EST111653, LBM180"
