gene_id	tx_id
ENSG00000128274	ENST00000401850
ENSG00000094914	ENST00000209873
ENSG00000103591	ENST00000261880
ENSG00000090861	ENST00000261772
ENSG00000124608	ENST00000244571
ENSG00000008311	ENST00000393376
ENSG00000183044	ENST00000396600
ENSG00000165029	ENST00000374736
ENSG00000144452	ENST00000272895
ENSG00000107331	ENST00000341511
ENSG00000167972	ENST00000301732
ENSG00000198691	ENST00000370225
ENSG00000073734	ENST00000263817
ENSG00000005471	ENST00000265723
ENSG00000115657	ENST00000265316
ENSG00000131269	ENST00000253577
ENSG00000023839	ENST00000370449
ENSG00000091262	ENST00000205557
ENSG00000006071	ENST00000389817
ENSG00000069431	ENST00000261200
ENSG00000101986	ENST00000218104
ENSG00000119688	ENST00000356924
ENSG00000138075	ENST00000260645
ENSG00000143921	ENST00000272286
ENSG00000100997	ENST00000376542
ENSG00000011198	ENST00000458276
ENSG00000097007	ENST00000372348
ENSG00000151498	ENST00000281182
ENSG00000177646	ENST00000308982
ENSG00000117054	ENST00000420607
ENSG00000122971	ENST00000242592
ENSG00000196177	ENST00000358776
ENSG00000072778	ENST00000543245
ENSG00000157766	ENST00000439576
ENSG00000075239	ENST00000265838
ENSG00000107897	ENST00000396271
ENSG00000159640	ENST00000290866
ENSG00000100412	ENST00000216254
ENSG00000161533	ENST00000293217
ENSG00000168306	ENST00000302819
ENSG00000142513	ENST00000270593
ENSG00000102575	ENST00000592828
ENSG00000176715	ENST00000317447
ENSG00000068366	ENST00000340800
ENSG00000164398	ENST00000379264
ENSG00000143632	ENST00000366684
ENSG00000107796	ENST00000458208
ENSG00000075624	ENST00000331789
ENSG00000159251	ENST00000290378
ENSG00000184009	ENST00000575842
ENSG00000163017	ENST00000409624
ENSG00000077080	ENST00000160382
ENSG00000072110	ENST00000394419
ENSG00000077522	ENST00000366578
ENSG00000130402	ENST00000252699
ENSG00000115170	ENST00000263640
ENSG00000114739	ENST00000352511
ENSG00000139567	ENST00000388922
ENSG00000243989	ENST00000404366
ENSG00000093072	ENST00000399839
ENSG00000137845	ENST00000260408
ENSG00000168615	ENST00000487273
ENSG00000142303	ENST00000270328
ENSG00000160323	ENST00000371929
ENSG00000140470	ENST00000268070
ENSG00000140873	ENST00000282849
ENSG00000087116	ENST00000251582
ENSG00000156140	ENST00000286657
ENSG00000197859	ENST00000354484
ENSG00000143382	ENST00000271643
ENSG00000160710	ENST00000368474
ENSG00000197381	ENST00000539173
ENSG00000213638	ENST00000329478
ENSG00000173175	ENST00000462833
ENSG00000174233	ENST00000307885
ENSG00000148700	ENST00000356080
ENSG00000127507	ENST00000315576
ENSG00000205336	ENST00000388812
ENSG00000173698	ENST00000379869
ENSG00000112414	ENST00000367609
ENSG00000164199	ENST00000405460
ENSG00000197894	ENST00000296412
ENSG00000181092	ENST00000412955
ENSG00000156110	ENST00000286621
ENSG00000101126	ENST00000396029
ENSG00000116863	ENST00000373178
ENSG00000169252	ENST00000305988
ENSG00000239900	ENST00000216194
ENSG00000185100	ENST00000332972
ENSG00000106624	ENST00000223357
ENSG00000155966	ENST00000370460
ENSG00000072364	ENST00000265343
ENSG00000141385	ENST00000269143
ENSG00000081051	ENST00000395792
ENSG00000038002	ENST00000264595
ENSG00000084693	ENST00000360131
ENSG00000006530	ENST00000355413
ENSG00000162688	ENST00000294724
ENSG00000123908	ENST00000220592
ENSG00000169692	ENST00000371696
ENSG00000018510	ENST00000264167
ENSG00000188157	ENST00000379370
ENSG00000135744	ENST00000366667
ENSG00000135049	ENST00000376083
ENSG00000144891	ENST00000542281
ENSG00000172482	ENST00000307503
ENSG00000101444	ENST00000217426
ENSG00000126705	ENST00000374011
ENSG00000135541	ENST00000367800
ENSG00000111732	ENST00000229335
ENSG00000156709	ENST00000287295
ENSG00000164022	ENST00000394701
ENSG00000106305	ENST00000223029
ENSG00000129221	ENST00000381129
ENSG00000160224	ENST00000291582
ENSG00000106992	ENST00000373176
ENSG00000004455	ENST00000354858
ENSG00000151632	ENST00000380753
ENSG00000122787	ENST00000242375
ENSG00000142208	ENST00000554581
ENSG00000105221	ENST00000392038
ENSG00000117020	ENST00000366539
ENSG00000148218	ENST00000409155
ENSG00000158578	ENST00000330807
ENSG00000163631	ENST00000295897
ENSG00000059573	ENST00000371224
ENSG00000184254	ENST00000329841
ENSG00000111275	ENST00000261733
ENSG00000072210	ENST00000339618
ENSG00000159423	ENST00000375341
ENSG00000112294	ENST00000348925
ENSG00000119711	ENST00000553458
ENSG00000164904	ENST00000409134
ENSG00000149925	ENST00000395248
ENSG00000136872	ENST00000374855
ENSG00000033011	ENST00000262374
ENSG00000253710	ENST00000521508
ENSG00000182858	ENST00000330817
ENSG00000101901	ENST00000394780
ENSG00000172339	ENST00000370205
ENSG00000119523	ENST00000476832
ENSG00000214160	ENST00000397676
ENSG00000088035	ENST00000371108
ENSG00000159063	ENST00000299626
ENSG00000086848	ENST00000531154
ENSG00000137760	ENST00000428149
ENSG00000116127	ENST00000264448
ENSG00000179477	ENST00000319144
ENSG00000179148	ENST00000318227
ENSG00000073331	ENST00000458497
ENSG00000136383	ENST00000258888
ENSG00000162551	ENST00000374840
ENSG00000003393	ENST00000264276
ENSG00000180318	ENST00000316824
ENSG00000156150	ENST00000369792
ENSG00000052850	ENST00000329255
ENSG00000242110	ENST00000382085
ENSG00000178522	ENST00000322937
ENSG00000125363	ENST00000380712
ENSG00000184675	ENST00000330258
ENSG00000104899	ENST00000221496
ENSG00000135409	ENST00000257863
ENSG00000101935	ENST00000262844
ENSG00000166126	ENST00000299155
ENSG00000116748	ENST00000520113
ENSG00000116337	ENST00000256578
ENSG00000145020	ENST00000273588
ENSG00000153107	ENST00000341068
ENSG00000214274	ENST00000336811
ENSG00000132855	ENST00000371129
ENSG00000167772	ENST00000301455
ENSG00000029534	ENST00000265709
ENSG00000145362	ENST00000357077
ENSG00000151150	ENST00000280772
ENSG00000154122	ENST00000284268
ENSG00000176915	ENST00000357997
ENSG00000167522	ENST00000301030
ENSG00000107890	ENST00000376087
ENSG00000165138	ENST00000353234
ENSG00000011426	ENST00000265748
ENSG00000160746	ENST00000292246
ENSG00000134343	ENST00000256737
ENSG00000171714	ENST00000324559
ENSG00000177119	ENST00000423947
ENSG00000011201	ENST00000262648
ENSG00000169604	ENST00000303714
ENSG00000163297	ENST00000307333
ENSG00000122359	ENST00000438331
ENSG00000100280	ENST00000357586
ENSG00000106367	ENST00000337619
ENSG00000182287	ENST00000329235
ENSG00000161203	ENST00000292807
ENSG00000042753	ENST00000263270
ENSG00000132842	ENST00000255194
ENSG00000103723	ENST00000261722
ENSG00000134262	ENST00000369569
ENSG00000081014	ENST00000261842
ENSG00000221838	ENST00000359593
ENSG00000100478	ENST00000216366
ENSG00000242802	ENST00000348624
ENSG00000134982	ENST00000457016
ENSG00000115266	ENST00000535453
ENSG00000154856	ENST00000355285
ENSG00000118137	ENST00000236850
ENSG00000158874	ENST00000367990
ENSG00000110243	ENST00000542499
ENSG00000084674	ENST00000233242
ENSG00000234906	ENST00000590360
ENSG00000110245	ENST00000227667
ENSG00000130203	ENST00000252486
ENSG00000142192	ENST00000346798
ENSG00000198931	ENST00000378364
ENSG00000137074	ENST00000379813
ENSG00000167580	ENST00000199280
ENSG00000161798	ENST00000293599
ENSG00000169083	ENST00000374690
ENSG00000095139	ENST00000264028
ENSG00000143761	ENST00000541182
ENSG00000124198	ENST00000371917
ENSG00000118520	ENST00000356962
ENSG00000031081	ENST00000264245
ENSG00000141522	ENST00000269321
ENSG00000104880	ENST00000359920
ENSG00000131089	ENST00000253401
ENSG00000117713	ENST00000324856
ENSG00000049618	ENST00000346085
ENSG00000189079	ENST00000334344
ENSG00000169379	ENST00000394222
ENSG00000102931	ENST00000219204
ENSG00000138175	ENST00000260746
ENSG00000113966	ENST00000463745
ENSG00000118690	ENST00000392644
ENSG00000135931	ENST00000349938
ENSG00000130429	ENST00000451682
ENSG00000120500	ENST00000307959
ENSG00000100299	ENST00000216124
ENSG00000113273	ENST00000264914
ENSG00000141337	ENST00000448504
ENSG00000157399	ENST00000381134
ENSG00000173409	ENST00000310256
ENSG00000004848	ENST00000379044
ENSG00000104763	ENST00000381733
ENSG00000146926	ENST00000420175
ENSG00000138303	ENST00000342444
ENSG00000139352	ENST00000266744
ENSG00000116539	ENST00000392403
ENSG00000126522	ENST00000304874
ENSG00000070669	ENST00000175506
ENSG00000108381	ENST00000263080
ENSG00000198363	ENST00000379454
ENSG00000066279	ENST00000367409
ENSG00000169696	ENST00000306729
ENSG00000130707	ENST00000372394
ENSG00000171456	ENST00000375687
ENSG00000143970	ENST00000435504
ENSG00000141431	ENST00000269197
ENSG00000138138	ENST00000308448
ENSG00000197785	ENST00000378755
ENSG00000167654	ENST00000450849
ENSG00000118217	ENST00000367942
ENSG00000138363	ENST00000236959
ENSG00000198513	ENST00000358385
ENSG00000184743	ENST00000398868
ENSG00000149311	ENST00000278616
ENSG00000111676	ENST00000356654
ENSG00000179774	ENST00000373673
ENSG00000159363	ENST00000326735
ENSG00000163399	ENST00000537345
ENSG00000018625	ENST00000361216
ENSG00000105409	ENST00000545399
ENSG00000196296	ENST00000357084
ENSG00000174437	ENST00000539276
ENSG00000017260	ENST00000393221
ENSG00000099624	ENST00000215375
ENSG00000173915	ENST00000369825
ENSG00000071553	ENST00000369762
ENSG00000182220	ENST00000378438
ENSG00000185344	ENST00000330342
ENSG00000105929	ENST00000310018
ENSG00000114573	ENST00000273398
ENSG00000116039	ENST00000234396
ENSG00000147416	ENST00000276390
ENSG00000131100	ENST00000253413
ENSG00000165240	ENST00000341514
ENSG00000123191	ENST00000242839
ENSG00000081923	ENST00000536015
ENSG00000175054	ENST00000350721
ENSG00000085224	ENST00000373344
ENSG00000124788	ENST00000244769
ENSG00000130638	ENST00000252934
ENSG00000204842	ENST00000377617
ENSG00000066427	ENST00000393287
ENSG00000163635	ENST00000398590
ENSG00000148090	ENST00000375731
ENSG00000105146	ENST00000302804
ENSG00000158321	ENST00000342771
ENSG00000135407	ENST00000257861
ENSG00000101200	ENST00000380293
ENSG00000126895	ENST00000358927
ENSG00000168646	ENST00000307078
ENSG00000166710	ENST00000558401
ENSG00000162885	ENST00000366600
ENSG00000176022	ENST00000379198
ENSG00000149541	ENST00000265471
ENSG00000187676	ENST00000343307
ENSG00000135454	ENST00000341156
ENSG00000086062	ENST00000379731
ENSG00000027847	ENST00000029410
ENSG00000174684	ENST00000311181
ENSG00000108641	ENST00000261499
ENSG00000123810	ENST00000243578
ENSG00000136881	ENST00000259407
ENSG00000112182	ENST00000257749
ENSG00000151929	ENST00000369085
ENSG00000175334	ENST00000312175
ENSG00000174483	ENST00000318312
ENSG00000179941	ENST00000393262
ENSG00000181004	ENST00000542236
ENSG00000125124	ENST00000245157
ENSG00000140463	ENST00000268057
ENSG00000163093	ENST00000295240
ENSG00000138686	ENST00000264499
ENSG00000122507	ENST00000242067
ENSG00000185825	ENST00000458587
ENSG00000114200	ENST00000264381
ENSG00000248098	ENST00000269980
ENSG00000083123	ENST00000320393
ENSG00000103507	ENST00000394951
ENSG00000119866	ENST00000335712
ENSG00000127152	ENST00000357195
ENSG00000171791	ENST00000398117
ENSG00000110987	ENST00000538010
ENSG00000183337	ENST00000378444
ENSG00000085185	ENST00000540052
ENSG00000074582	ENST00000431802
ENSG00000166546	ENST00000536005
ENSG00000167995	ENST00000449131
ENSG00000125864	ENST00000377873
ENSG00000170819	ENST00000302334
ENSG00000182492	ENST00000331595
ENSG00000205899	ENST00000391429
ENSG00000185963	ENST00000356884
ENSG00000136717	ENST00000316724
ENSG00000136573	ENST00000259089
ENSG00000197299	ENST00000355112
ENSG00000189114	ENST00000433642
ENSG00000188428	ENST00000397457
ENSG00000106605	ENST00000402924
ENSG00000168487	ENST00000306385
ENSG00000130385	ENST00000252677
ENSG00000125845	ENST00000378827
ENSG00000125378	ENST00000245451
ENSG00000164619	ENST00000297161
ENSG00000107779	ENST00000372037
ENSG00000138696	ENST00000440890
ENSG00000204217	ENST00000374580
ENSG00000173068	ENST00000380672
ENSG00000163170	ENST00000327428
ENSG00000172331	ENST00000393132
ENSG00000104331	ENST00000262644
ENSG00000171634	ENST00000306378
ENSG00000157764	ENST00000288602
ENSG00000106009	ENST00000340611
ENSG00000012048	ENST00000471181
ENSG00000139618	ENST00000544455
ENSG00000185024	ENST00000546474
ENSG00000136492	ENST00000259008
ENSG00000156983	ENST00000383829
ENSG00000165288	ENST00000373275
ENSG00000168000	ENST00000433053
ENSG00000162399	ENST00000371265
ENSG00000169814	ENST00000303498
ENSG00000137707	ENST00000356018
ENSG00000010671	ENST00000308731
ENSG00000156970	ENST00000287598
ENSG00000112276	ENST00000314641
ENSG00000173715	ENST00000360962
ENSG00000047621	ENST00000261250
ENSG00000111678	ENST00000229281
ENSG00000131943	ENST00000392278
ENSG00000173372	ENST00000374642
